"Geography","Persons"
"Lot 46 (LOT), Prince Edward Island","411"
"Kinkora (COM), Prince Edward Island","360"
"Lot 56 (LOT), Prince Edward Island","382"
"Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust. (COM), Prince Edward Island","382"
"Lennox Island 1 (IRI), Prince Edward Island","350"
"Lot 54 (LOT), Prince Edward Island","317"
"Crapaud (COM), Prince Edward Island","371"
"Lot 60 (LOT), Prince Edward Island","356"
"Linkletter (COM), Prince Edward Island","360"
"Murray River (COM), Prince Edward Island","296"
"Bedeque and Area (COM), Prince Edward Island","343"
"Morell (COM), Prince Edward Island","299"
"Lot  9 (LOT), Prince Edward Island","426"
"Kings, Royalty (LOT), Prince Edward Island","277"
"Cardigan (COM), Prince Edward Island","338"
"Abrams Village (COM), Prince Edward Island","292"
"Lot 10 (LOT), Prince Edward Island","283"
"Murray Harbour (COM), Prince Edward Island","280"
"Tyne Valley (COM), Prince Edward Island","267"
"Lot 42 (LOT), Prince Edward Island","271"
"St. Peters Bay (COM), Prince Edward Island","258"
"Winsloe South (COM), Prince Edward Island","261"
"Lot 66 (LOT), Prince Edward Island","227"
"Mount Stewart (COM), Prince Edward Island","243"
"Union Road (COM), Prince Edward Island","236"
"Scotchfort 4 (IRI), Prince Edward Island","234"
"Breadalbane (COM), Prince Edward Island","193"
"Sherbrooke (COM), Prince Edward Island","171"
"Miminegash (COM), Prince Edward Island","157"
"Victoria (COM), Prince Edward Island","85"
"St. Louis (COM), Prince Edward Island","70"
"Rocky Point 3 (IRI), Prince Edward Island","61"
"Morell 2 (IRI), Prince Edward Island","23"
"Nova Scotia","981,691"
"Census subdivisions with 5,000-plus population, Nova Scotia","871,972"
"Halifax (RGM), Nova Scotia","450,605"
"Cape Breton (RGM), Nova Scotia","95,463"
"Lunenburg (MD), Nova Scotia","25,551"
"East Hants (MD), Nova Scotia","23,276"
"Kings, Subd. A (SC), Nova Scotia","23,208"
"Colchester, Subd. B (SC), Nova Scotia","19,624"
"West Hants (MD), Nova Scotia","15,506"
"Colchester, Subd. C (SC), Nova Scotia","13,618"
"Truro (T), Nova Scotia","12,972"
"Kings, Subd. B (SC), Nova Scotia","12,359"
"Chester (MD), Nova Scotia","10,604"
"Queens (RGM), Nova Scotia","10,359"
"Yarmouth (MD), Nova Scotia","10,001"
"Amherst (T), Nova Scotia","9,592"
"New Glasgow (T), Nova Scotia","9,415"
"Bridgewater (T), Nova Scotia","9,010"
"Pictou, Subd. C (SC), Nova Scotia","8,695"
"Antigonish, Subd. A (SC), Nova Scotia","8,717"
"Kings, Subd. C (SC), Nova Scotia","8,377"
"Clare (MD), Nova Scotia","7,994"
"Argyle (MD), Nova Scotia","7,817"
"Digby (MD), Nova Scotia","7,175"
"Cumberland, Subd. B (SC), Nova Scotia","6,769"
